// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.
13029,467,100	// Prinsense Knife
13406,467,100	// Edger

// Taiwan ???
2713,507,100	// Certificate

// Satan Morroc
7820,507,100	// Piece of Morocc Skin

// Vietnam Independence Day
5806,475,100	// Poet Natalie's Hat

// PC-Cafe Authoritative Badge
12262,507,100	// Authoritative Badge
12263,475,100	// Field Manual
12265,475,100	// Life Insurrance

// Morocc Continental Guard Certificate
7826,507,100	// Continental Guard Paper

// Harvest Moon Day PC Items
12266,507,100	// Sesame Pastry
12267,507,100	// Honey Pastry
12268,507,100	// Rainbow Cake

// Satan Morocc (Episode 12)
2730,467,100	// Seal of Continental Guard
2731,467,100	// Rune Spellstone
2732,467,100	// Death Loop

// Episode 12
1638,67,100	// Staff Of Healing
2438,67,100	// Paw Of Cat
2720,67,100	// Medal of Honor
2721,67,100	// Medal of Honor
2722,67,100	// Medal of Honor
2723,67,100	// Medal of Honor
2724,67,100	// Medal of Honor
2725,67,100	// Medal of Honor
2738,67,100	// Shiny Coin
2739,67,100	// Ordinary Coin
2740,67,100	// Rusty Coin
2751,67,100	// Academy Of Badge
2752,67,100	// Praccsinos
5368,67,100	// White Wing
5369,67,100	// Dark Wing
5386,67,100	// Ayam
5394,67,100	// Bubblegum
5812,67,100	// Hat Of Expert
6000,67,100	// Ashes of Darkness
6005,67,100	// New Year Rice Cake
6006,67,100	// Rice Cake Delivery Box
6007,67,100	// New Year Rice Cake Soup
6009,67,100	// Big Fan Of Magic
7623,67,100	// Ticket Of Identification

// Falicious Okolnir
7839,67,100	// Crystal Key
7840,67,100	// Valkyrie's Gift

// "St. Patrick's Day (2008)" Quest related items
12715,67,100	// Black Treasure Box

// "Valentine's Day (2009)" Event related items
5817,67,100	// Valentine Pledge
14466,67,100	// Valentine's Emblem Box

// Ayo_event 20090303
7950,67,100	// Ayothaya Fest Ticket

// Episode 13.1
6039,67,100	// Piece of Fish
6048,67,100	// Unidentified Mineral
6051,67,100	// Gray Hollow

// Episode 13.2
6074,67,100	// Bazett's Order
6075,67,100	// Crystalized Teardrop
6076,67,100	// Portable Toolbox
6077,67,100	// Rough Mineral
6078,67,100	// Stone Fragment
6079,67,100	// Flower Of Alfheim
6080,67,100	// Manuk Coin
6081,67,100	// Splendide Coin
6082,67,100	// Spirit Of Alfheim
6084,67,100	// Bradium Fragments
6085,67,100	// Shaggy Muffler
12342,67,100	// Manuk's Opportunity
12343,67,100	// Manuk's Courage
12344,67,100	// Pinguicula's Fruit Jam
12345,67,100	// Luciola's Honey Jam
12348,67,100	// Manuk's Faith
12349,67,100	// Cornus' Tears

// New Novice Training Grounds Equipment
1381,67,100	// Novice Battle Axe
1545,67,100	// Novice Mace
1639,67,100	// Novice Rod
1742,67,100	// Novice Composite Bow
2393,67,100	// Novice Adventurer's Suit
2819,67,100	// Swordsman Manual
2820,67,100	// Thief Manual
2821,67,100	// Acolyte Manual
2822,67,100	// Archer Manual
2823,67,100	// Merchant Manual
2824,67,100	// Mage Manual
12323,67,100	// Novice Fly Wing
12324,67,100	// Novice Butterfly Wing
12325,67,100	// Novice Magnifier
13040,67,100	// Novice Cutter
13041,67,100	// Novice Main Gauche
13415,67,100	// Novice Falchion

// Eden Group
1192,67,100	// Eden Slayer I
1193,67,100	// Eden Slayer II
1650,67,100	// Eden Staff I
1651,67,100	// Eden Staff II
1747,67,100	// Eden Bow I
1748,67,100	// Eden Bow II
2456,67,100	// Eden Team Boots I
2457,67,100	// Eden Team Boots II
2458,67,100	// Eden Team Boots III
2560,67,100	// Eden Team Manteau I
5583,67,100	// Eden Team Hat I
6218,67,100	// Delivery_Daishin_Box
6219,67,100	// Eden Group Mark
13050,67,100	// Eden Dagger I
13051,67,100	// Eden Dagger II
13112,67,100	// Eden Revlover I
13113,67,100	// Eden Revlover II
13423,67,100	// Eden Sabre I
13424,67,100	// Eden Sabre II
15009,67,100	// Eden Team Uniform I
15010,67,100	// Eden Team Uniform II
15011,67,100	// Eden Team Uniform III
16004,67,100	// Eden Mace I
16005,67,100	// Eden Mace II

// Brasilis
6237,67,100	// Guarana Fruit
